,oci_cat,oci,area_sq_ft,seg_cd,total_count,day_diff,func_cat,pvm_cat,status_cat
269,1,93.4,2424.0935,1,0.0,0,1,1,1
270,1,71.0,3216.1128,1,0.0,0,1,1,1
271,1,85.2,5550.0,3,0.0,154,1,1,1
272,1,87.89,18564.068,3,0.0,194,1,1,1
273,1,83.08,19812.266,3,0.0,194,2,1,1
274,1,64.76,19968.062,3,0.0,0,2,1,1
275,1,64.76,19968.062,3,0.0,0,2,1,1
276,1,77.16,19812.01,3,0.0,0,2,1,1
277,1,77.16,19812.01,3,0.0,0,2,1,1
278,1,75.66,19604.062,3,0.0,0,2,1,1
279,1,75.66,19604.062,3,0.0,0,2,1,1
280,1,75.66,19604.062,3,0.0,0,2,1,1
281,1,73.8,19708.062,3,0.0,0,2,1,1
282,1,73.8,19708.062,3,0.0,0,2,1,1
283,1,84.6,19760.01,3,0.0,0,2,1,1
284,1,84.6,19760.01,3,0.0,0,2,1,1
285,1,86.74,20488.254,3,0.0,0,2,1,1
286,1,86.74,20488.254,3,0.0,0,2,1,1
287,1,87.05,20279.994,3,0.0,0,2,1,1
288,1,87.05,20279.994,3,0.0,0,2,1,1
289,1,69.72,19812.285,3,0.0,0,2,1,1
290,1,69.72,19812.285,3,0.0,0,2,1,1
291,1,96.5,15426.71,3,0.0,154,1,2,1
292,1,96.5,15426.71,3,0.0,0,1,2,1
293,1,91.0,2760.159,3,0.0,154,1,1,1
294,1,91.0,2760.159,3,0.0,0,1,1,1
295,1,91.0,11190.048,3,0.0,154,1,1,1
296,1,91.0,11190.048,3,0.0,0,1,1,1
297,1,52.18,8619.602,3,0.0,333,2,1,1
298,0,36.83,10507.265,3,0.0,333,2,1,0
299,1,81.59,9852.755,3,0.0,194,1,1,1
300,1,83.6,12551.6,3,0.0,194,1,1,1
301,1,89.55,19760.078,3,0.0,0,2,1,1
302,1,82.54,20436.057,3,0.0,0,2,1,1
303,1,80.21,20488.588,3,0.0,0,2,1,1
304,1,81.72,19708.285,3,0.0,194,2,1,1
305,1,81.72,19708.285,3,0.0,0,2,1,1
306,1,89.3,19700.553,3,0.0,194,2,1,1
307,1,89.3,19700.553,3,0.0,0,2,1,1
308,1,68.06,18206.994,3,0.0,333,1,1,1
309,0,19.16,19586.682,3,0.0,333,1,1,0
310,1,70.64,19760.01,3,0.0,0,2,1,1
311,1,72.67,20540.254,3,0.0,0,2,1,1
312,1,72.67,20540.254,3,0.0,0,2,1,1
313,1,74.68,6003.4497,3,880379.0,0,3,1,1
314,1,77.86,12194.055,3,880379.0,0,3,1,1
315,1,68.55,12288.038,3,880379.0,0,3,1,1
316,1,75.66,20566.406,3,880379.0,0,2,1,1
317,0,34.27,19604.27,3,0.0,0,2,1,0
318,1,95.4,20332.594,3,0.0,154,2,1,1
319,1,79.23,23699.994,3,0.0,154,2,1,1
320,1,79.23,23699.994,3,0.0,0,2,1,1
321,1,74.18,22560.336,3,0.0,154,2,1,1
322,1,74.18,22560.336,3,0.0,0,2,1,1
323,1,82.39,22860.072,3,0.0,154,2,1,1
324,1,82.39,22860.072,3,0.0,0,2,1,1
325,1,95.75,19604.062,3,0.0,154,2,1,1
326,1,70.98,19760.062,3,0.0,154,2,1,1
327,1,79.1,19760.078,3,0.0,154,2,1,1
328,1,87.38,20384.594,3,0.0,0,2,1,1
329,1,82.26,20487.994,3,0.0,0,2,1,1
330,1,71.9,19552.084,3,0.0,0,2,1,1
331,1,51.9,19916.062,3,0.0,0,2,1,1
332,1,70.03,19968.01,3,0.0,0,2,1,1
333,1,72.76,19707.994,3,0.0,154,1,1,1
334,1,72.76,19707.994,3,0.0,0,1,1,1
335,1,65.86,19916.01,3,0.0,0,2,1,1
336,1,88.22,20072.062,3,0.0,0,1,1,1
337,1,89.85,12240.212,8,0.0,0,1,1,1
338,1,94.03,11772.882,8,0.0,0,1,1,1
339,1,85.64,17784.328,8,0.0,0,1,1,1
340,1,96.65,60368.406,8,0.0,0,1,1,1
341,1,96.65,60368.406,8,0.0,0,1,1,1
342,1,43.54,20384.01,8,0.0,0,1,1,1
343,1,41.61,19713.549,8,0.0,0,1,1,1
344,1,86.93,19970.45,8,0.0,0,1,1,1
345,1,42.49,19760.61,8,0.0,0,1,1,1
346,1,85.87,17992.363,8,0.0,0,1,1,1
347,1,50.76,19978.275,8,0.0,0,1,1,1
348,1,87.87,19399.562,8,0.0,0,1,1,1
349,0,22.06,19968.266,3,0.0,0,1,1,0
350,1,52.09,19864.266,3,0.0,0,1,1,1
351,1,43.83,12272.452,3,0.0,0,1,1,1
352,1,41.03,20440.229,8,0.0,0,1,1,1
353,1,53.76,20541.654,8,0.0,0,1,1,1
