,oci,seg_length_ft,seg_width_ft,area_sq_ft,oci_wt,seg_cd,length,width,paving_miles,oci_cat,func_cat,pvm_cat,status_cat,day_diff
258,91.0,373.1088,52.0,19401.658,1765550.9,3,374,52,0.14166667,1,2,1,1,0
259,82.61,569.3053,30.0,17079.158,1410875.1,3,570,30,0.10795455,1,1,1,1,0
260,85.88,380.0012,52.0,19760.062,1696994.1,3,381,52,0.14431818,1,1,1,1,0
261,88.0,383.0012,52.0,19916.062,1752613.5,3,384,52,0.14545454,1,2,1,1,0
262,70.86,382.0055,52.0,19864.285,1407503.9,3,383,52,0.14507575,1,2,1,1,0
263,70.86,382.0055,52.0,19864.285,1407503.9,3,383,52,0.14507575,1,2,1,1,0
264,76.45,392.0114,52.0,20384.594,1558442.9,3,393,52,0.14886364,1,2,1,1,0
265,94.4,390.7512,52.0,20319.062,1918038.2,3,391,52,0.14810607,1,2,1,1,0
266,61.71,378.2502,52.0,19669.01,1213774.6,3,379,52,0.1435606,1,2,1,1,0
267,56.87,545.4466,40.0,21817.863,1240738.2,3,546,40,0.10340909,1,1,1,1,0
268,25.5,143.0045,24.0,3432.108,87518.76,1,144,24,0.027272727,0,1,1,1,0
269,93.4,101.0039,24.0,2424.0935,226410.34,1,102,24,0.019318182,1,1,1,1,0
270,71.0,134.0047,24.0,3216.1128,228344.02,1,135,24,0.025568182,1,1,1,1,0
271,85.2,185.0,30.0,5550.0,472860.0,3,185,30,0.03503788,1,1,1,2,154
272,87.89,357.0013,52.0,18564.068,1631558.8,3,358,52,0.13560607,1,1,1,4,194
273,83.08,381.0051,52.0,19812.266,1646082.2,3,382,52,0.14469697,1,2,1,4,194
274,64.76,384.0012,52.0,19968.062,1293131.8,3,385,52,0.14583333,1,2,1,1,0
275,64.76,384.0012,52.0,19968.062,1293131.8,3,385,52,0.14583333,1,2,1,1,0
276,77.16,381.0002,52.0,19812.01,1528734.4,3,382,52,0.14469697,1,2,1,1,0
277,77.16,381.0002,52.0,19812.01,1528734.4,3,382,52,0.14469697,1,2,1,1,0
278,75.66,377.0012,52.0,19604.062,1483282.6,3,378,52,0.14318182,1,2,1,1,0
279,75.66,377.0012,52.0,19604.062,1483282.6,3,378,52,0.14318182,1,2,1,1,0
280,75.66,377.0012,52.0,19604.062,1483282.6,3,378,52,0.14318182,1,2,1,1,0
281,73.8,379.0012,52.0,19708.062,1454376.1,3,380,52,0.14393939,1,2,1,1,0
282,73.8,379.0012,52.0,19708.062,1454376.1,3,380,52,0.14393939,1,2,1,1,0
283,84.6,380.0002,52.0,19760.01,1671696.9,3,381,52,0.14431818,1,2,1,1,0
284,84.6,380.0002,52.0,19760.01,1671696.9,3,381,52,0.14431818,1,2,1,1,0
285,86.74,394.0049,52.0,20488.254,1777151.2,3,395,52,0.14962122,1,2,1,1,0
