id,street_name,limits,northbound_count,southbound_count,eastbound_count,westbound_count,total_count,file_no,date_count
04AV011807,04 AV,ROBINSON AV - UNIVERSITY AV,,9520,,,9520,0118-07,2007-03-07
04AV010410,04 AV,ROBINSON AV - UNIVERSITY AV,,10565,,,10565,0104-10,2010-03-10
04AV007613,04 AV,ROBINSON AV - UNIVERSITY AV,,9767,,,9767,0076-13,2013-02-21
04AV113614,04 AV,ROBINSON AV - UNIVERSITY AV,,8296,,,8296,1136-14,2014-08-05
04AV003221,04 AV,ROBINSON AV - UNIVERSITY AV,,5479,,,5479,0032-21,2021-03-04
04AV016206,04 AV,UNIVERSITY AV - WASHINGTON ST,,10410,,,10410,0162-06,2006-03-22
04AV016909,04 AV,UNIVERSITY AV - WASHINGTON ST,,8580,,,8580,0169-09,2009-03-24
04AV019112,04 AV,UNIVERSITY AV - WASHINGTON ST,,8297,,,8297,0191-12,2012-03-27
04AV029515,04 AV,UNIVERSITY AV - WASHINGTON ST,,5871,,,5871,0295-15,2015-05-14
04AV004516,04 AV,UNIVERSITY AV - WASHINGTON ST,,7422,,,7422,0045-16,2016-03-10
04AV009220,04 AV,UNIVERSITY AV - WASHINGTON ST,,7556,,,7556,0092-20,2020-03-11
04AV008605,04 AV,WASHINGTON ST - 05 AV,2250,11720,,,13970,0086-05,2005-03-29
04AV013208,04 AV,WASHINGTON ST - 05 AV,1540,10850,,,12390,0132-08,2008-03-20
04AV032311,04 AV,WASHINGTON ST - 05 AV,7165,10585,,,17750,0323-11,2011-05-26
04AV003014,04 AV,WASHINGTON ST - 05 AV,2127,8416,,,10543,0030-14,2014-02-11
04AV005218,04 AV,WASHINGTON ST - 05 AV,2784,8889,,,11673,0052-18,2018-03-13
05AV020106,05 AV,A ST - ASH ST,13280,,,,13280,0201-06,2006-04-19
05AV027709,05 AV,A ST - ASH ST,11370,,,,11370,0277-09,2009-04-21
05AV029312,05 AV,A ST - ASH ST,12115,,,,12115,0293-12,2012-04-24
05AV038415,05 AV,A ST - ASH ST,11270,,,,11270,0384-15,2015-07-15
05AV038415,05 AV,A ST - ASH ST,11270,,,,11270,0384-15,2015-07-15
