seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt
SA-000699,58.37,ALLEY,,,661.0756,30,Alley,PCC Jointed Concrete,19832.268,Fair,1157609.483
SA-000704,85.80,ALLEY,,,426.7996,30,Alley,PCC Jointed Concrete,12803.988,Good,1098582.17
SA-000705,80.48,ALLEY,,,663.0912,30,Alley,PCC Jointed Concrete,19892.736,Good,1600967.393
SA-000707,74.02,ALLEY,,,667.003,30,Alley,PCC Jointed Concrete,20010.09,Good,1481146.862
SA-000708,62.08,ALLEY,,,675.0185,30,Alley,PCC Jointed Concrete,20250.555,Fair,1257154.454
SA-000709,74.57,ALLEY,,,660.0068,30,Alley,PCC Jointed Concrete,19800.204,Good,1476501.212
SA-000710,68.29,ALLEY,,,668.0108,30,Alley,PCC Jointed Concrete,20040.324,Fair,1368553.726
SA-000711,54.84,ALLEY,,,647,30,Alley,PCC Jointed Concrete,19410,Fair,1064444.4
SA-000712,68.28,ALLEY,,,603.0001,30,Alley,PCC Jointed Concrete,18090.003,Fair,1235185.405
SA-000713,72.66,ALLEY,,,668.0116,30,Alley,PCC Jointed Concrete,20040.348,Good,1456131.686
SA-000714,68.43,ALLEY,,,670.021,30,Alley,PCC Jointed Concrete,20100.63,Fair,1375486.111
SA-000716,83.00,ALLEY,,,203.0041,30,Alley,PCC Jointed Concrete,6090.123,Good,505480.209
SA-000717,67.70,ALLEY,,,611.0316,30,Alley,PCC Jointed Concrete,18330.948,Fair,1241005.18
SA-000718,70.04,ALLEY,,,666.0495,30,Alley,PCC Jointed Concrete,19981.485,Good,1399503.209
SA-000719,79.23,ALLEY,,,186.5377,30,Alley,PCC Jointed Concrete,5596.131,Good,443381.4591
SA-000720,68.98,ALLEY,,,674.012,30,Alley,PCC Jointed Concrete,20220.36,Fair,1394800.433
SA-000721,75.72,ALLEY,,,609.0009,30,Alley,PCC Jointed Concrete,18270.027,Good,1383406.444
SA-000722,81.92,ALLEY,,,660.0163,30,Alley,PCC Jointed Concrete,19800.489,Good,1622056.059
